Year,Sum_of_Lights
1992,7984301.0
1993,9239260.0
1994,9275676.0
1995,11900405.0
1996,12285192.0
1997,11646200.0
1998,13413220.0
1999,13756789.0
2000,14938944.0
2001,15188277.0
2002,15512560.0
2003,14436738.0
2004,16643454.0
2005,15363533.0
2006,14054413.0
2007,17363542.0
2008,16494378.0
2009,17972270.0
2010,17688661.0
2011,18773274.0
2012,20756246.0
2013,20462196.0
2014,31386182.0
2015,33098609.0
2016,31616158.0
2017,39389994.0
2018,40069286.0
2019,42240367.0
2020,39742451.0
2021,42318903.0
2022,45347730.0
