District,Correlation with NTL
JALPAIGURI,0.9394877009254126
DUNGARPUR,0.8904900789667465
CHANDRAPUR,0.895842038857386
EAST KAMENG,0.7405628849186097
SHEOPUR,0.7691906233200664
UNA,0.9473403215111075
BAREILLY,0.8480238375077754
DHARMAPURI,0.9502561322137192
UKHRUL,0.746152760103817
COIMBATORE,0.8835472252092578
MYSORE,0.9809392355682107
REWA,0.8134938537734259
NAMAKKAL,0.8324222871885941
LALITPUR,0.803670472627347
VIDISHA,0.7773636182075783
BANKA,0.801920642402805
TONK,0.855768972718636
TAMENGLONG,0.7505906692785346
RATNAGIRI,0.8761941774740998
RAJKOT,0.866538411679008
NANDURBAR,0.8338758499562519
SIKAR,0.9316290733098475
KOLHAPUR,0.8375872751490351
CHAMPAWAT,0.7783021710196956
RAJSAMAND,0.9526908170181931
ETAH,-0.7765421633022576
THOUBAL,0.8083699104358095
KARIMNAGAR,0.9127143619371295
HARDA,0.755216975265758
UNNAO,0.8062295344912709
WARDHA,0.8740943222511414
ALLAHABAD,0.8702241779307174
TEHRI GARHWAL,0.9029658961619242
NANDED,0.870521510099297
KORIYA,0.8033736176085271
GHAZIPUR,0.7004012488478436
NARSIMHAPUR,0.8301713326672756
CACHAR,0.8231833375785212
GIRIDIH,0.808424139556722
MUZAFFARNAGAR,0.8644892390687368
KULLU,0.7705101712773014
KAUSHAMBI,0.8660069669669214
LOHARDAGA,0.8125549381077207
KARUR,0.9172328671269051
FARIDABAD,0.9574454666572229
BOKARO,0.8590154905038044
UJJAIN,0.6234621124283249
SOUTH GARO HILLS,0.7800299054902466
WEST,0.6985948340790504
BEGUSARAI,0.8251929729383677
EAST GARO HILLS,0.7831452481462798
ROHTAK,0.9316386155617175
LAKHIMPUR,0.8044981534912539
BHIWANI,0.9182367640355005
SHIMOGA,0.9097887189156657
JAIPUR,0.975524213707359
KENDRAPARA,0.9314644596822396
GAJAPATI,0.7826985764810409
LUNGLEI,0.6995180805187793
HANUMANGARH,0.9591778717210787
SAHARANPUR,0.8463331025350471
FARIDKOT,0.6920772283399567
MEERUT,0.8502199208854763
JAMNAGAR,0.9402183553717782
VALSAD,0.9409159023527626
BANDA,0.8078503469196059
DAMOH,0.7823703641100939
PANNA,0.7674471545443214
PITHORAGARH,0.7326513135444772
KINNAUR,0.6046419280958025
AIZAWL,0.8000529487494636
MEDAK,0.9675429899945941
JALANDHAR,0.632819115300625
HISAR,0.8571017512528385
DAKSHINA KANNADA,0.935190960854143
KURUKSHETRA,0.5737805428515439
ADILABAD,0.9505029108240348
WEST NIMAR,0.700633185117102
SATNA,0.8305092932460808
MALKANGIRI,0.762810277897536
AKOLA,0.8495762423735425
RAJGARH,0.9035472369124087
THANJAVUR,0.7399075474277669
PATNA,-0.03829493520129719
BILASPUR,0.9326671569439076
AGRA,0.9642912387126085
BANSWARA,0.8677257265237673
MURSHIDABAD,0.8033384519760873
SIWAN,0.7819405720391244
RAISEN,0.790371941675437
DARRANG,0.8756635946869199
EAST SIANG,0.7640883115776065
KUSHINAGAR,0.7566920188862283
RAMPUR,0.8570870693622222
TIRAP,0.7399256372210626
KANNUR,0.6830410587338148
JALNA,0.8738737909008573
SITAMARHI,0.7791721406659042
AMRITSAR,-0.11134026079911562
BAHRAICH,0.772857462736037
SINDHUDURG,0.866219099434009
KANCHEEPURAM,0.9724572699358776
MORADABAD,0.8820223847341909
BALESHWAR,0.9153827723185401
MIRZAPUR,0.7717138952657825
EAST KHASI HILLS,0.8704654689310785
KOLKATA,0.3100956469725118
KANDHAMAL,0.7398401955411751
MADHUBANI,0.8165651520435416
NIZAMABAD,0.8504100540839896
KHAMMAM,0.9348450954180323
JANJGIR-CHAMPA,0.9453793896430495
MADURAI,0.8904049808568896
SAIHA,0.7429924886369726
SHAHJAHANPUR,0.8265927006055733
SIDHI,-0.7565977310073524
HARDWAR,0.977447887666775
HOSHANGABAD,0.8191877217502246
KANGRA,0.9537496731002715
KRISHNA,0.9344917342402401
HAMIRPUR,0.8847592749205194
CHENNAI,0.35857081826424575
CHANGLANG,0.8260919393059986
RAIPUR,0.9754429264387884
FARRUKHABAD,0.7538236192826979
SOLAN,0.9417369618425574
JAMUI,0.7673227857635165
DHULE,0.7664735298929866
GARHWAL,0.8847771637125076
VARANASI,0.8003593634585666
CUTTACK,0.9432822154073076
MUKTSAR,0.7128279314521239
MUZAFFARPUR,0.8174905892887282
ANANTAPUR,0.9689264750684912
THANE,0.9242151600872469
SAGAR,0.8222560533946591
BHADRAK,0.8866072079530491
FIROZABAD,0.9231716683689105
GULBARGA,0.965480295056795
LOHIT,0.770616993061365
BIDAR,0.9533663880679101
NAGAON,0.8565036934726536
SURENDRANAGAR,0.8799525978842251
KORBA,0.90158885063844
DHARWAD,0.9705359228680108
BIRBHUM,0.8883040302554559
DHANBAD,0.876749698030432
MATHURA,0.9531489605517739
DHAR,0.7121158327173486
MUNGER,0.8044206650855901
CHAMBA,0.7404473162303139
UMARIA,0.7968062710424586
UDUPI,0.9551882604254548
VIZIANAGARAM,0.9224437859868492
AJMER,0.9321794424969254
PAKUR,0.8167346618418699
SUNDARGARH,0.8587870991094346
KODAGU,0.8199369112820131
JHALAWAR,0.8903519553531352
CHHINDWARA,0.7890916304832936
SHIVPURI,0.7517828972756334
NAGAUR,0.9379770056117894
SEONI,0.8139379562193769
PALAMU,0.808409182587327
NABARANGAPUR,0.7607957011242541
SERCHHIP,0.747032965959312
KATNI,0.8773394801128995
INDORE,0.8894319958700353
MOGA,0.6188871269206738
BHOPAL,0.8908166771413087
JAINTIA HILLS,0.8516691938467827
UTTARKASHI,0.7059166542421398
VELLORE,0.9264569206896458
DEORIA,0.7586340827593311
KOLLAM,0.6971089143161588
BELLARY,0.9397375667173785
BHAGALPUR,0.8398517081666237
MAHOBA,0.8254580761558038
TUMKUR,0.9551043293164018
JHANSI,0.8425898603913463
SURAT,0.9065449829460828
JABALPUR,0.8614380856389895
KAITHAL,0.7580509075984502
LUDHIANA,0.688596424999654
DEWAS,0.6846165841509378
BALRAMPUR,0.7708282511496638
GURGAON,0.7983271074547142
SANGRUR,-0.37862748345395
WEST KAMENG,0.7375736983070914
GURDASPUR,0.4405219631525594
IMPHAL WEST,0.7929476776223668
GUNA,0.7273035297817233
UDHAM SINGH NAGAR,0.9773867222879588
JIND,0.8706620463345464
DEOGHAR,0.8483837193988498
WEST KHASI HILLS,0.7587147051768911
DURG,0.9680216861657754
SEHORE,0.8028077207840743
BHOJPUR,0.7953199266467773
PURNIA,0.8385763249597884
MANDI,0.9571168746737303
NALGONDA,0.9697076191868258
PATIALA,0.6869410670671557
PARBHANI,0.8746693830745935
THRISSUR,0.7365335221114676
PUNE,0.9372532694967827
SHRAVASTI,0.7947967575713109
BANKURA,0.9010790629772938
SRIKAKULAM,0.9237322598135578
UTTAR DINAJPUR,0.9498948974329171
MANDSAUR,0.6389403134684479
TAWANG,0.7440227083481211
MAHASAMUND,0.9011127059128781
SANGLI,0.8504170080621537
DINDIGUL,0.9380162602556046
CHITTOOR,0.9538925252987059
KAMRUP,0.9064628101006573
ALIGARH,0.8337097480576879
NASHIK,0.8084247678164278
MORENA,0.7471824128507407
RUDRAPRAYAG,0.7783846047828076
GUMLA,0.7612281223939569
JAISALMER,0.7537111904673494
JAGATSINGHAPUR,0.9625856322912235
UPPER SUBANSIRI,0.5573071440895638
GWALIOR,0.8088720732707163
PERAMBALUR,0.9490184549066061
BASTI,0.8408336195578702
KATIHAR,0.8095011079417656
FATEHGARH SAHIB,0.667933880428502
SALEM,0.8895935993248039
BARWANI,0.7341538542960722
SHAHDOL,-0.7338886789546057
JASHPUR,0.7916728085396458
SURGUJA,0.8194960619331321
LAHUL & SPITI,0.47394739389397766
ERODE,0.9065220223688762
NUAPADA,0.7803523459806009
DINDORI,0.761177573792396
BUXAR,0.7968992521579179
SIRMAUR,0.9587250625882902
CUDDALORE,0.8491864609316109
JHARSUGUDA,0.935796908769745
PALAKKAD,0.8804018482031432
BHARUCH,0.786636643975079
FATEHABAD,0.670419170205527
BETUL,0.7689670191755151
BALANGIR,0.8121375050884058
BUNDI,0.867900177239568
KENDUJHAR,0.8656812849226556
SITAPUR,0.8176295580172497
SUPAUL,0.8339358621857695
AMBEDKAR NAGAR,0.8233161462771411
BARGARH,0.8301547380728377
BHILWARA,0.8915547993986606
NALANDA,0.8333321690480254
CHAMOLI,0.7279286567601388
KOLASIB,0.7887903068214859
BIJAPUR,0.7232847860060411
MAU,0.7431414293012323
AMRAVATI,0.8413500320380924
KOTTAYAM,0.6311499837291281
MAMIT,0.7406807403592779
EAST NIMAR,0.7461720679845705
KOLAR,-0.925880590813381
FAIZABAD,0.7498762138568122
ALWAR,0.9659928218788479
THIRUVANANTHAPURAM,0.7834656336654365
KHAGARIA,0.7873740816169038
LATUR,0.8736497747627907
MANDLA,0.7992527789832955
KANNIYAKUMARI,0.8489958159430482
CHANDAULI,0.8058333642067854
UDAIPUR,0.8735477559328557
HOSHIARPUR,0.7230074166519549
SIROHI,0.876556938030942
SAHARSA,0.8090956094693285
PATHANAMTHITTA,0.8761115160902332
AZAMGARH,0.728159517186708
MAHARAJGANJ,0.7720707578082977
BALAGHAT,0.8099319219636985
SONIPAT,0.9473933742949507
REWARI,0.9434410131488894
JAJAPUR,0.9666917301019804
SHIMLA,0.9059936971431992
KORAPUT,0.3889609106554944
BARABANKI,0.8333014188724736
GANJAM,0.852240990716534
UPPER SIANG,0.5513534575813217
PALI,0.8571953417855124
NAWADA,0.7682423852423966
THIRUVARUR,0.7050034701869912
ARARIA,0.8165226484146599
DATIA,0.7096790703059682
MAYURBHANJ,0.7971705293037907
HAZARIBAGH,0.8489101259077105
KARAULI,0.8927438271139648
WARANGAL,0.9696717962682708
SHAJAPUR,0.578142150713371
GUNTUR,0.9650517079708547
MANDYA,0.946803192193984
BULANDSHAHR,0.7974906097201138
DEHRADUN,0.9838891878400127
LAKHISARAI,0.7799026203963841
SONBHADRA,0.8313132056514503
HYDERABAD,0.383979812720766
IDUKKI,0.914826764914212
KAPURTHALA,0.755642844217313
KOTA,0.9266849052253892
GADAG,0.9553096898071831
PRAKASAM,0.95708664906518
BARAN,0.9112059345448573
SIRSA,0.7757667542414958
JHAJJAR,0.9578239124543063
JUNAGADH,0.6675615732069669
JALGAON,0.8012460308009973
THENI,0.9377503781086773
BHANDARA,0.8429179980316234
GARHWA,0.7650572064060768
PURI,0.8990084429762736
ALMORA,0.9193991105507909
AURANGABAD,0.787815531885647
AMBALA,0.8041053173500721
HARDOI,0.788480212765364
RAMANATHAPURAM,0.9355283044017053
SOLAPUR,0.9232332329192487
AMRELI,0.8321322209700321
THIRUVALLUR,0.9146514371982836
DUMKA,0.7983087274363777
GAYA,0.7959239673346821
LUCKNOW,0.9559800444818694
RAYAGADA,0.7962344165345364
HINGOLI,0.8498991891408387
SHEOHAR,0.7584455104097008
BARMER,0.7396323342089007
FATEHPUR,0.799891817599061
BHAVNAGAR,0.8544913310304528
BIJNOR,0.7825812064578079
BHIND,0.7125285374369519
DIBANG VALLEY,0.44619369663944747
PANIPAT,0.9042367329989246
MANSA,0.7859072237319644
CHANDEL,0.7497788214097052
GODDA,0.7915397688187007
CHHATARPUR,0.7733245462765518
NELLORE,0.9649386823154603
SULTANPUR,0.7290358037989404
CHURACHANDPUR,0.7659285865234449
KARNAL,0.8412930184172319
WEST SIANG,0.6740082977712041
ROHTAS,0.8215416774443719
RANCHI,0.8941139246298035
DEBAGARH,0.7834276776001402
DIBRUGARH,0.7992311535514036
LOWER SUBANSIRI,0.7700863096251641
NAGPUR,0.9272992088637021
RAIGARH,0.9271650736446497
BALLIA,0.7134187117232794
BAGESHWAR,0.8243950276184625
CHURU,0.95722993315447
DHENKANAL,0.8945320560626692
MAINPURI,0.8406644819630654
JALAUN,0.784847030158521
PILIBHIT,0.7934216380432254
NAINITAL,0.9437687078249855
MADHEPURA,0.8130788531063173
KHORDHA,0.9384921465892251
JHABUA,-0.3707583425514174
ARWAL,0.7707562895860086
NAYAGARH,0.8297182419340049
PANCHKULA,0.973466808303178
WASHIM,0.8521281001652182
WEST GODAVARI,0.9403646157410587
RI BHOI,0.8489324433591464
DAUSA,0.9593649181533328
CHITRAKOOT,0.8123057185883902
UTTARA KANNADA,0.8733729032790682
BISHNUPUR,0.816235048817852
CHITRADURGA,0.9668329410700471
KHEDA,0.8898051639604971
GOALPARA,0.8736183148435608
HAVERI,0.9611845051888399
BHARATPUR,0.9399764501979877
GONDA,0.8211205063267801
WEST GARO HILLS,0.7626364834109045
KALAHANDI,0.8007704234587117
ALAPPUZHA,0.4558037917335379
KOPPAL,0.9486572962063999
JODHPUR,0.9152919301186552
BANGALORE RURAL,0.9822494757284026
ANUGUL,0.8987750974831116
NEEMUCH,0.7375041736814899
SAMBALPUR,0.8469368543029518
KANNAUJ,0.8485775518683634
HASSAN,0.9725059431724346
BIKANER,0.8487350180131757
IMPHAL EAST,0.8346354920712966
KURNOOL,0.9436688269998355
RAE BARELI,0.7911937992036069
VAISHALI,0.8229460547939124
DARBHANGA,0.8131370182408034
RATLAM,0.6398265476388245
KOZHIKODE,0.6352341785002985
BATHINDA,0.873066480042033
CHAMPHAI,0.7342922409037748
BELGAUM,0.9452163525603283
CHATRA,0.755820208903443
SARAN,0.8125418493303341
JAUNPUR,0.7116955245745111
GORAKHPUR,0.8213453120850734
PRATAPGARH,0.8141665896005753
OSMANABAD,0.8777951382730523
DAKSHIN DINAJPUR,0.9194914412548996
NADIA,0.9069044070919394
MALAPPURAM,0.7893133697816073
SENAPATI,0.7784042986545063
KRISHNAGIRI,0.9588218068763493
RAICHUR,0.9541843919493807
SATARA,0.8591588271746562
TIKAMGARH,0.7399442298616035
